10.126.2.83 - - [25/Oct/2018:00:57:19 +0800] "GET /phpmyadmin HTTP/1.0" 404 -
172.16.1.153 - - [25/Oct/2018:09:02:53 +0800] "GET /upms/resources/zheng-admin/plugins/fullPage/jquery.jdirk.min.js HTTP/1.0" 304 -
172.16.1.153 - - [25/Oct/2018:09:02:53 +0800] "GET /upms/resources/zheng-admin/images/avatar.jpg HTTP/1.0" 304 -
172.16.1.153 - - [25/Oct/2018:09:02:53 +0800] "GET /upms/resources/zheng-admin/plugins/material-design-iconic-font-2.2.0/fonts/Material-Design-Iconic-Font.woff?v=2.2.0 HTTP/1.0" 304 -
172.16.1.153 - - [25/Oct/2018:09:02:53 +0800] "GET /upms/resources/zheng-admin/images/zheng-cms.png HTTP/1.0" 304 -
172.16.1.153 - - [25/Oct/2018:09:02:59 +0800] "GET /upms/sso/index?appid=wbm-bi-admin&backurl=http%3A%2F%2Fwbm.dcits.com%2Fbi%2Fmanage%2Fqy%2FbasCostBorder%2Fcollect HTTP/1.0" 302 -
172.16.1.153 - - [25/Oct/2018:09:02:59 +0800] "GET /upms/sso/login?backurl=http%3A%2F%2Fwbm.dcits.com%2Fbi%2Fmanage%2Fqy%2FbasCostBorder%2Fcollect HTTP/1.0" 302 -
172.16.1.153 - - [25/Oct/2018:09:02:59 +0800] "POST /upms/sso/code HTTP/1.0" 200 76
10.126.2.83 - - [25/Oct/2018:09:12:39 +0800] "GET / HTTP/1.0" 404 -
10.126.2.83 - - [25/Oct/2018:09:40:32 +0800] "GET / HTTP/1.0" 404 -
10.126.2.83 - - [25/Oct/2018:09:40:43 +0800] "HEAD / HTTP/1.0" 404 -
10.126.2.83 - - [25/Oct/2018:09:56:47 +0800] "GET /robots.txt HTTP/1.0" 404 -
10.126.2.83 - - [25/Oct/2018:09:56:47 +0800] "GET /xmlrpc.php?rsd HTTP/1.0" 404 -
10.126.2.83 - - [25/Oct/2018:09:56:48 +0800] "GET / HTTP/1.0" 404 -
10.126.2.83 - - [25/Oct/2018:09:56:48 +0800] "GET /blog/robots.txt HTTP/1.0" 404 -
10.126.2.83 - - [25/Oct/2018:09:56:48 +0800] "GET /blog/ HTTP/1.0" 404 -
10.126.2.83 - - [25/Oct/2018:09:56:48 +0800] "GET /wordpress/ HTTP/1.0" 404 -
10.126.2.83 - - [25/Oct/2018:09:56:49 +0800] "GET /wp/ HTTP/1.0" 404 -
10.126.2.83 - - [25/Oct/2018:10:06:14 +0800] "GET / HTTP/1.0" 404 -
10.126.2.83 - - [25/Oct/2018:10:49:25 +0800] "GET / HTTP/1.0" 404 -
10.126.2.83 - - [25/Oct/2018:10:49:37 +0800] "GET /robots.txt HTTP/1.0" 404 -
10.126.2.83 - - [25/Oct/2018:10:49:47 +0800] "GET /.well-known/security.txt HTTP/1.0" 404 -
10.126.2.83 - - [25/Oct/2018:10:55:05 +0800] "GET /sso/login HTTP/1.0" 404 -
172.16.1.153 - - [25/Oct/2018:11:21:16 +0800] "GET /upms/sso/login HTTP/1.0" 200 3041
172.16.1.153 - - [25/Oct/2018:11:21:16 +0800] "GET /upms/resources/zheng-admin/plugins/material-design-iconic-font-2.2.0/css/material-design-iconic-font.min.css HTTP/1.0" 200 70815
172.16.1.153 - - [25/Oct/2018:11:21:16 +0800] "GET /upms/resources/zheng-admin/plugins/bootstrap-3.3.0/css/bootstrap.min.css HTTP/1.0" 200 114011
172.16.1.153 - - [25/Oct/2018:11:21:16 +0800] "GET /upms/resources/zheng-admin/css/login.css HTTP/1.0" 200 1645
172.16.1.153 - - [25/Oct/2018:11:21:16 +0800] "GET /upms/resources/zheng-admin/plugins/jquery.1.12.4.min.js HTTP/1.0" 200 97163
172.16.1.153 - - [25/Oct/2018:11:21:16 +0800] "GET /upms/resources/zheng-admin/plugins/waves-0.7.5/waves.min.css HTTP/1.0" 200 3869
172.16.1.153 - - [25/Oct/2018:11:21:16 +0800] "GET /upms/resources/zheng-admin/plugins/checkbix/css/checkbix.min.css HTTP/1.0" 200 4008
172.16.1.153 - - [25/Oct/2018:11:21:16 +0800] "GET /upms/resources/zheng-admin/plugins/bootstrap-3.3.0/js/bootstrap.min.js HTTP/1.0" 200 34653
172.16.1.153 - - [25/Oct/2018:11:21:16 +0800] "GET /upms/resources/zheng-admin/plugins/waves-0.7.5/waves.min.js HTTP/1.0" 200 6227
172.16.1.153 - - [25/Oct/2018:11:21:16 +0800] "GET /upms/resources/zheng-admin/plugins/jsencrypt/jsencrypt.min.js HTTP/1.0" 200 54919
172.16.1.153 - - [25/Oct/2018:11:21:16 +0800] "GET /upms/resources/zheng-admin/plugins/checkbix/js/checkbix.min.js HTTP/1.0" 200 1135
172.16.1.153 - - [25/Oct/2018:11:21:16 +0800] "GET /upms/resources/zheng-admin/js/login.js HTTP/1.0" 200 2958
172.16.1.153 - - [25/Oct/2018:11:21:16 +0800] "GET /upms/resources/zheng-admin/plugins/material-design-iconic-font-2.2.0/fonts/Material-Design-Iconic-Font.woff2?v=2.2.0 HTTP/1.0" 200 38384
172.16.1.153 - - [25/Oct/2018:11:21:16 +0800] "GET /upms/sso/kaptcha HTTP/1.0" 200 1447
172.16.1.153 - - [25/Oct/2018:11:21:16 +0800] "GET /upms/resources/zheng-admin/images/favicon.ico HTTP/1.0" 200 9662
172.16.1.153 - - [25/Oct/2018:11:21:22 +0800] "GET /upms/sso/rsa/publicKey HTTP/1.0" 200 216
172.16.1.153 - - [25/Oct/2018:11:21:22 +0800] "POST /upms/sso/login HTTP/1.0" 200 68
172.16.1.153 - - [25/Oct/2018:11:21:26 +0800] "GET /upms/sso/kaptcha HTTP/1.0" 200 1432
172.16.1.153 - - [25/Oct/2018:11:21:33 +0800] "GET /upms/sso/rsa/publicKey HTTP/1.0" 200 216
172.16.1.153 - - [25/Oct/2018:11:21:33 +0800] "POST /upms/sso/login HTTP/1.0" 500 9931
172.16.1.153 - - [25/Oct/2018:11:21:39 +0800] "GET /upms/sso/rsa/publicKey HTTP/1.0" 200 216
172.16.1.153 - - [25/Oct/2018:11:21:39 +0800] "POST /upms/sso/login HTTP/1.0" 500 9931
172.16.1.153 - - [25/Oct/2018:11:21:48 +0800] "GET /upms/sso/rsa/publicKey HTTP/1.0" 200 216
172.16.1.153 - - [25/Oct/2018:11:21:48 +0800] "POST /upms/sso/login HTTP/1.0" 200 66
172.16.1.153 - - [25/Oct/2018:11:21:50 +0800] "GET /upms/sso/login HTTP/1.0" 200 3041
172.16.1.153 - - [25/Oct/2018:11:21:50 +0800] "GET /upms/resources/zheng-admin/plugins/checkbix/css/checkbix.min.css HTTP/1.0" 304 -
172.16.1.153 - - [25/Oct/2018:11:21:50 +0800] "GET /upms/resources/zheng-admin/plugins/waves-0.7.5/waves.min.css HTTP/1.0" 304 -
172.16.1.153 - - [25/Oct/2018:11:21:50 +0800] "GET /upms/resources/zheng-admin/css/login.css HTTP/1.0" 304 -
172.16.1.153 - - [25/Oct/2018:11:21:50 +0800] "GET /upms/resources/zheng-admin/plugins/bootstrap-3.3.0/css/bootstrap.min.css HTTP/1.0" 304 -
172.16.1.153 - - [25/Oct/2018:11:21:50 +0800] "GET /upms/resources/zheng-admin/plugins/material-design-iconic-font-2.2.0/css/material-design-iconic-font.min.css HTTP/1.0" 304 -
172.16.1.153 - - [25/Oct/2018:11:21:50 +0800] "GET /upms/sso/kaptcha HTTP/1.0" 200 1479
172.16.1.153 - - [25/Oct/2018:11:21:50 +0800] "GET /upms/resources/zheng-admin/plugins/jquery.1.12.4.min.js HTTP/1.0" 304 -
172.16.1.153 - - [25/Oct/2018:11:21:50 +0800] "GET /upms/resources/zheng-admin/plugins/bootstrap-3.3.0/js/bootstrap.min.js HTTP/1.0" 304 -
172.16.1.153 - - [25/Oct/2018:11:21:50 +0800] "GET /upms/resources/zheng-admin/plugins/waves-0.7.5/waves.min.js HTTP/1.0" 304 -
172.16.1.153 - - [25/Oct/2018:11:21:50 +0800] "GET /upms/resources/zheng-admin/js/login.js HTTP/1.0" 304 -
172.16.1.153 - - [25/Oct/2018:11:21:50 +0800] "GET /upms/resources/zheng-admin/plugins/material-design-iconic-font-2.2.0/fonts/Material-Design-Iconic-Font.woff2?v=2.2.0 HTTP/1.0" 304 -
172.16.1.153 - - [25/Oct/2018:11:21:50 +0800] "GET /upms/resources/zheng-admin/plugins/checkbix/js/checkbix.min.js HTTP/1.0" 304 -
172.16.1.153 - - [25/Oct/2018:11:21:50 +0800] "GET /upms/resources/zheng-admin/plugins/jsencrypt/jsencrypt.min.js HTTP/1.0" 304 -
172.16.1.153 - - [25/Oct/2018:11:21:51 +0800] "GET /upms/resources/zheng-admin/images/favicon.ico HTTP/1.0" 200 9662
172.16.1.153 - - [25/Oct/2018:11:21:58 +0800] "GET /upms/sso/rsa/publicKey HTTP/1.0" 200 216
172.16.1.153 - - [25/Oct/2018:11:21:58 +0800] "POST /upms/sso/login HTTP/1.0" 200 68
10.126.2.83 - - [25/Oct/2018:11:22:03 +0800] "GET /favicon.ico HTTP/1.0" 404 -
10.126.2.83 - - [25/Oct/2018:11:22:05 +0800] "GET /sso/login HTTP/1.0" 404 -
10.126.2.83 - - [25/Oct/2018:11:22:14 +0800] "GET /sso/login HTTP/1.0" 404 -
172.16.1.153 - - [25/Oct/2018:11:22:22 +0800] "GET /upms/sso/rsa/publicKey HTTP/1.0" 200 216
172.16.1.153 - - [25/Oct/2018:11:22:22 +0800] "POST /upms/sso/login HTTP/1.0" 200 68
172.16.1.153 - - [25/Oct/2018:11:22:26 +0800] "GET /upms/sso/kaptcha HTTP/1.0" 200 1483
172.16.1.153 - - [25/Oct/2018:11:22:30 +0800] "GET /upms/sso/rsa/publicKey HTTP/1.0" 200 216
172.16.1.153 - - [25/Oct/2018:11:22:30 +0800] "POST /upms/sso/login HTTP/1.0" 200 65
172.16.1.153 - - [25/Oct/2018:11:22:31 +0800] "GET /upms/ HTTP/1.0" 302 -
172.16.1.153 - - [25/Oct/2018:11:22:31 +0800] "GET /upms/manage/index HTTP/1.0" 200 84987
172.16.1.153 - - [25/Oct/2018:11:22:31 +0800] "GET /upms/resources/zheng-admin/plugins/waves-0.7.5/waves.min.css HTTP/1.0" 304 -
172.16.1.153 - - [25/Oct/2018:11:22:31 +0800] "GET /upms/resources/zheng-admin/images/logo.png HTTP/1.0" 200 892
172.16.1.153 - - [25/Oct/2018:11:22:31 +0800] "GET /upms/resources/zheng-admin/plugins/bootstrap-3.3.0/css/bootstrap.min.css HTTP/1.0" 304 -
172.16.1.153 - - [25/Oct/2018:11:22:31 +0800] "GET /upms/resources/zheng-admin/css/admin.css HTTP/1.0" 200 9554
172.16.1.153 - - [25/Oct/2018:11:22:31 +0800] "GET /upms/resources/zheng-admin/plugins/jquery.1.12.4.min.js HTTP/1.0" 304 -
172.16.1.153 - - [25/Oct/2018:11:22:31 +0800] "GET /upms/resources/zheng-admin/plugins/material-design-iconic-font-2.2.0/css/material-design-iconic-font.min.css HTTP/1.0" 304 -
172.16.1.153 - - [25/Oct/2018:11:22:31 +0800] "GET /upms/resources/zheng-admin/plugins/bootstrap-3.3.0/js/bootstrap.min.js HTTP/1.0" 304 -
172.16.1.153 - - [25/Oct/2018:11:22:31 +0800] "GET /upms/resources/zheng-admin/plugins/malihu-custom-scrollbar-plugin/jquery.mCustomScrollbar.min.css HTTP/1.0" 200 42839
172.16.1.153 - - [25/Oct/2018:11:22:31 +0800] "GET /upms/resources/zheng-admin/plugins/waves-0.7.5/waves.min.js HTTP/1.0" 304 -
172.16.1.153 - - [25/Oct/2018:11:22:31 +0800] "GET /upms/resources/zheng-admin/plugins/malihu-custom-scrollbar-plugin/jquery.mCustomScrollbar.concat.min.js HTTP/1.0" 200 45479
172.16.1.153 - - [25/Oct/2018:11:22:31 +0800] "GET /upms/resources/zheng-admin/plugins/BootstrapMenu.min.js HTTP/1.0" 200 18632
172.16.1.153 - - [25/Oct/2018:11:22:31 +0800] "GET /upms/resources/zheng-admin/plugins/device.min.js HTTP/1.0" 200 3296
172.16.1.153 - - [25/Oct/2018:11:22:31 +0800] "GET /upms/resources/zheng-admin/plugins/fullPage/jquery.fullPage.min.js HTTP/1.0" 200 29752
172.16.1.153 - - [25/Oct/2018:11:22:31 +0800] "GET /upms/resources/zheng-admin/js/admin.js HTTP/1.0" 200 8155
172.16.1.153 - - [25/Oct/2018:11:22:31 +0800] "GET /upms/resources/zheng-admin/plugins/jquery.cookie.js HTTP/1.0" 200 3140
172.16.1.153 - - [25/Oct/2018:11:22:31 +0800] "GET /upms/resources/zheng-admin/plugins/fullPage/jquery.jdirk.min.js HTTP/1.0" 200 67188
172.16.1.153 - - [25/Oct/2018:11:22:31 +0800] "GET /upms/resources/zheng-admin/plugins/material-design-iconic-font-2.2.0/fonts/Material-Design-Iconic-Font.woff2?v=2.2.0 HTTP/1.0" 304 -
172.16.1.153 - - [25/Oct/2018:11:22:31 +0800] "GET /upms/resources/zheng-admin/images/avatar.jpg HTTP/1.0" 200 19370
172.16.1.153 - - [25/Oct/2018:11:22:31 +0800] "GET /upms/resources/zheng-admin/images/zheng-cms.png HTTP/1.0" 200 18664
10.126.2.83 - - [25/Oct/2018:11:22:50 +0800] "GET /sso/login HTTP/1.0" 404 -
172.16.1.153 - - [25/Oct/2018:11:22:55 +0800] "GET /upms/sso/login HTTP/1.0" 302 -
172.16.1.153 - - [25/Oct/2018:11:22:55 +0800] "GET /upms/ HTTP/1.0" 302 -
172.16.1.153 - - [25/Oct/2018:11:22:56 +0800] "GET /upms/manage/index HTTP/1.0" 200 84987
172.16.1.153 - - [25/Oct/2018:11:22:56 +0800] "GET /upms/resources/zheng-admin/plugins/waves-0.7.5/waves.min.css HTTP/1.0" 304 -
172.16.1.153 - - [25/Oct/2018:11:22:56 +0800] "GET /upms/resources/zheng-admin/plugins/malihu-custom-scrollbar-plugin/jquery.mCustomScrollbar.min.css HTTP/1.0" 304 -
172.16.1.153 - - [25/Oct/2018:11:22:56 +0800] "GET /upms/resources/zheng-admin/css/admin.css HTTP/1.0" 304 -
172.16.1.153 - - [25/Oct/2018:11:22:56 +0800] "GET /upms/resources/zheng-admin/plugins/material-design-iconic-font-2.2.0/css/material-design-iconic-font.min.css HTTP/1.0" 304 -
172.16.1.153 - - [25/Oct/2018:11:22:56 +0800] "GET /upms/resources/zheng-admin/images/logo.png HTTP/1.0" 304 -
172.16.1.153 - - [25/Oct/2018:11:22:56 +0800] "GET /upms/resources/zheng-admin/plugins/bootstrap-3.3.0/css/bootstrap.min.css HTTP/1.0" 304 -
172.16.1.153 - - [25/Oct/2018:11:22:56 +0800] "GET /upms/resources/zheng-admin/plugins/malihu-custom-scrollbar-plugin/jquery.mCustomScrollbar.concat.min.js HTTP/1.0" 304 -
172.16.1.153 - - [25/Oct/2018:11:22:56 +0800] "GET /upms/resources/zheng-admin/plugins/waves-0.7.5/waves.min.js HTTP/1.0" 304 -
172.16.1.153 - - [25/Oct/2018:11:22:56 +0800] "GET /upms/resources/zheng-admin/images/avatar.jpg HTTP/1.0" 304 -
172.16.1.153 - - [25/Oct/2018:11:22:56 +0800] "GET /upms/resources/zheng-admin/plugins/bootstrap-3.3.0/js/bootstrap.min.js HTTP/1.0" 304 -
172.16.1.153 - - [25/Oct/2018:11:22:56 +0800] "GET /upms/resources/zheng-admin/plugins/jquery.1.12.4.min.js HTTP/1.0" 304 -
172.16.1.153 - - [25/Oct/2018:11:22:56 +0800] "GET /upms/resources/zheng-admin/plugins/device.min.js HTTP/1.0" 304 -
172.16.1.153 - - [25/Oct/2018:11:22:56 +0800] "GET /upms/resources/zheng-admin/plugins/fullPage/jquery.jdirk.min.js HTTP/1.0" 304 -
172.16.1.153 - - [25/Oct/2018:11:22:56 +0800] "GET /upms/resources/zheng-admin/plugins/fullPage/jquery.fullPage.min.js HTTP/1.0" 304 -
172.16.1.153 - - [25/Oct/2018:11:22:56 +0800] "GET /upms/resources/zheng-admin/js/admin.js HTTP/1.0" 304 -
172.16.1.153 - - [25/Oct/2018:11:22:56 +0800] "GET /upms/resources/zheng-admin/plugins/jquery.cookie.js HTTP/1.0" 304 -
172.16.1.153 - - [25/Oct/2018:11:22:56 +0800] "GET /upms/resources/zheng-admin/plugins/BootstrapMenu.min.js HTTP/1.0" 304 -
